club_id,name,league,league_id,country,rating,attack_rating,midfield_rating,defense_rating,stadium,manager,manager_id,manager_url,club_worth,starting_xi_avg_age,whole_team_avg_age,rival_team,players_count,top_players,club_logo,country_flag,url
9,Liverpool,Premier League,13,England,85,85,86,83,Anfield,arne slot,23180,https://sofifa.com/coach/23180/arne-slot/,€4.7B,26.18,24.64,Manchester United,28,"83 H. Ekitiké, 88 A. Isak, 84 D. Szoboszlai, 80 C. Jones, 88 F. Wirtz",https://cdn.sofifa.net/meta/team/8/120.png,https://cdn.sofifa.net/flags/gb-eng.png,https://sofifa.com/team/9/liverpool/
241,FC Barcelona,La Liga,53,Spain,85,85,85,82,El Libertador,hans dieter flick,37352367,https://sofifa.com/coach/37352367/hans-dieter-flick/,€4.9B,24.09,23.43,Real Madrid,28,"83 Ferran Torres, 88 R. Lewandowski, 80 Fermín, 84 Dani Olmo, 62 Dro",https://cdn.sofifa.net/meta/team/83/120.png,https://cdn.sofifa.net/flags/es.png,https://sofifa.com/team/241/fc-barcelona/
243,Real Madrid,La Liga,53,Spain,85,88,85,82,Estadio Santiago Bernabéu,xabier alonso olano,511,https://sofifa.com/coach/511/xabier-alonso-olano/,€5.8B,24.64,24.00,FC Barcelona,30,"91 K. Mbappé, 77 Endrick, 69 Gonzalo, 90 J. Bellingham, 77 F. Mastantuono",https://cdn.sofifa.net/meta/team/3468/120.png,https://cdn.sofifa.net/flags/es.png,https://sofifa.com/team/243/real-madrid/
1,Arsenal,Premier League,13,England,84,86,84,84,Emirates Stadium,mikel arteta amatriain,307,https://sofifa.com/coach/307/mikel-arteta-amatriain/,€2.5B,26.00,25.42,Tottenham Hotspur,24,"83 L. Trossard, 81 Gabriel Martinelli, 87 V. Gyökeres, 82 K. Havertz, 80 Gabriel Jesus",https://cdn.sofifa.net/meta/team/19/120.png,https://cdn.sofifa.net/flags/gb-eng.png,https://sofifa.com/team/1/arsenal/
10,Manchester City,Premier League,13,England,84,82,85,82,Etihad Stadium,josep guardiola i sala,455361,https://sofifa.com/coach/455361/josep-guardiola-i-sala/,€4.6B,25.00,25.58,Manchester United,26,"81 J. Doku, 90 E. Haaland, 84 O. Marmoush, 76 O. Bobb, 81 R. Cherki",https://cdn.sofifa.net/meta/team/9/120.png,https://cdn.sofifa.net/flags/gb-eng.png,https://sofifa.com/team/10/manchester-city/
21,FC Bayern München,Bundesliga,19,Germany,84,89,85,82,Allianz Arena,vincent kompany,236,https://sofifa.com/coach/236/vincent-kompany/,€4.3B,28.91,25.30,Bayer 04 Leverkusen,27,"89 H. Kane, 80 N. Jackson, 82 S. Gnabry, 67 L. Karl, 88 J. Musiala",https://cdn.sofifa.net/meta/team/503/120.png,https://cdn.sofifa.net/flags/de.png,https://sofifa.com/team/21/fc-bayern-munchen/
73,Paris Saint-Germain,Ligue 1,16,France,84,85,84,85,Parc des Princes,luis enrique martinez garcia,523959,https://sofifa.com/coach/523959/luis-enrique-martinez-garcia/,€4B,24.91,22.60,Olympique de Marseille,25,"84 B. Barcola, 68 Q. Ndjantou, 90 O. Dembélé, 80 Gonçalo Ramos, 87 K. Kvaratskhelia",https://cdn.sofifa.net/meta/team/591/120.png,https://cdn.sofifa.net/flags/fr.png,https://sofifa.com/team/73/paris-saint-germain/
44,Inter,Serie A,31,Italy,83,86,83,83,Waldstadion,cristian eugen chivu,127925,https://sofifa.com/coach/127925/cristian-eugen-chivu/,€985M,30.27,27.76,AC Milan,25,"C88 L. Martínez, 85 M. Thuram, 77 Y. Bonny, 74 F. Esposito, 83 H. Mkhitaryan",https://cdn.sofifa.net/meta/team/2930/120.png,https://cdn.sofifa.net/flags/it.png,https://sofifa.com/team/44/inter/
240,Atlético Madrid,La Liga,53,Spain,82,84,81,82,Wanda Metropolitano,diego pablo simeone,452946,https://sofifa.com/coach/452946/diego-pablo-simeone/,€1.4B,27.36,26.35,Real Madrid,26,"87 J. Alvarez, 84 A. Griezmann, 83 A. Sørloth, 78 G. Raspadori, 69 Carlos Martín",https://cdn.sofifa.net/meta/team/7980/120.png,https://cdn.sofifa.net/flags/es.png,https://sofifa.com/team/240/atletico-madrid/
13,Newcastle United,Premier League,13,England,81,81,84,80,St. James' Park,eddie howe,523911,https://sofifa.com/coach/523911/eddie-howe/,€900M,27.73,26.55,Sunderland,29,"83 A. Gordon, 80 H. Barnes, 78 J. Ramsey, 80 N. Woltemade, 71 W. Osula",https://cdn.sofifa.net/meta/team/20/120.png,https://cdn.sofifa.net/flags/gb-eng.png,https://sofifa.com/team/13/newcastle-united/
